Repository,Source
ayong8/FairSight,Academic
KenSciResearch/fairMLHealth,Organization
INSPIRED-GMU/fairkit-learn,Academic
equialgo/fairness-in-ml,Individual
AI-secure/DecodingTrust,Academic
oracle/guardian-ai,Organization
AI4LIFE-GROUP/OpenXAI,Academic
cakiki/ml-fairness-validity,Academic
google/ml-fairness-gym,Organization
JohnSnowLabs/langtest,Organization
kozodoi/fairness,Individual
EthicalML/xai,Organization
"microsoft/responsible-ai-toolbox",Organization
ashryaagr/Fairness.jl,academic
ModelOriented/fairmodels,Academic
ResponsiblyAI/responsibly,Individual
vanderschaarlab/synthcity,Academic
thu-coai/cotk,Academic
wearepal/EthicML,Academic
Giskard-AI/giskard,Organization
dccuchile/wefe,Academic
microsoft/SafeNLP,Organization
firmai/ml-fairness-framework,Academic
aws/amazon-sagemaker-clarify,Organization
IBM/inFairness,Organization
pliang279/sent_debias,Academic
deel-ai/influenciae,Academic
credo-ai/credoai_lens,Organization
matloff/EDFfair,Academic
KCachel/fairranktune,Individual
ModelOriented/FairPAN,Academic
microsoft/responsible-ai-toolbox-genbit,Organization
ClearExplanationsAI/CLEAR,Academic
dbountouridis/siren,Individual
mlr-org/mcboost,Organization
cylynx/verifyml,Organization
oracle-samples/automlx,Organization
adebayoj/fairml,Individual
columbia/fairtest,Academic
FAIR4HEP/FAIR4HEP-Toolkit,Individual
barcoopensource/vivaldy-ai-analysis-dashboard,Organization
Teddyzander/FairR,Academic
hannanabdul55/seldonian-fairness,Academic
aida-ugent/fairret,Academic
Telefonica/XAIoGraphs,Organization
kamyabnazari/fair-energy-ai,Individual
sethneel/GerryFair,Academic
umang-garg21/Fair-MisGAIN,Academic
martinetoering/Embetter,Individual
brandeis-machine-learning/FairPy,Academic
dssg/aequitas*,Organization
cosmicBboy/themis-ml*,Individual
Trusted-AI/AIF360*,Organization
drivendataorg/deon*,Organization
fairlearn/fairlearn*,Organization
fat-forensics/fat-forensics*,Individual
meelgroup/justicia*,Academic
linkedin/LiFT*,Organization
pymetrics/audit-ai*,Organization
Tizpaz/Parfait-ML*,Organization
PAIR-code/what-if-tool*,Organization

